DataSpaceName,Status,ActivationId,ActivationName,entityName,Fieldname
,,,,informa_o_Cadastral_CHPRAS__dlm,cod_prod_ccre__c
,,,,,Nmero_CHPRAS__c
,,,,Relacionamento_Ita_CPF_Anal_tico__dlm,idt_tokn_apla_ativ__c
,,,,ssot__Individual__dlm,GC_Universal__c
,,85R4X000000L3FuUAK,PF_IS_LIS_USOUAD_IAIUIP,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3FvUAK,PF_IS_LIS_USOUAD_IU,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3FzUAK,PF_IS_LIS_USOUAD_IP,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3irUAC,RENEG_COLCHAO_CRITERIO_SAIDA,ssot__Individual__dlm,ssot__Id__c
,,,,tbhf9me_info_parc_ctrt_rene__dlm,cod_prod_ants_rene__c
,,,,,dat_prox_pgto_parc__c
,,,,,num_ctrt_rene__c
,,,,,num_totl_parc_pago_ctrt__c
,,85R4X000000L3jVUAS,PF_CA0019790_IA_EM_SMS_PSH,ssot__Individual__dlm,GC_Universal__c
,,,,,ssot__Id__c
,,85R4X000000L3kdUAC,PF_IS_CRE_CLIENTESPACREDIARIO_IU,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3kiUAC,PF_IS_CRE_CLIENTESPACREDIARIO_IP,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3ksUAC,Suita_flag_JDAY,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L3kYUAS,PF_IS_CRE_CLIENTESPACREDIARIO_IA,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
,,85R4X000000L3NUUA0,Optout_Push_PJ,ssot__Individual__dlm,ssot__Id__c
,,85R4X000000L3OIUA0,PF_IS_INV_SUITABILITYVENCIDO_IA,ssot__Individual__dlm,IdPessoa__c
,,,,,ssot__Id__c
